The Cars of James Bond
max,max,max,min,max
number,name,country,Top Speed (mph),Power (Bhp),Cylinders,0-60 (s),Doors
A1,Sunbeam Alpine,UK,98,80,4,13.6,2
A2,Chevrolet Bel Air,USA,108,162,6,10.3,4
A3,Aston Martin DB5,UK,145,282,6,7.1,2
A4,Ford Mustang Convertible,USA,116,164,6,8.3,2
B1,Rolls-Royce Phantom III,UK,95,165,12,13.5,4
B2,Toyota 2000GT Convertible,Japan,135,148,6,8.2,2
B3,Toyota Crown,Japan,99,110,6,12.9,4
B4,Aston Martin DBS,UK,141,282,6,6.1,2
C1,Mercury Cougar XR-7,USA,125,335,8,6.5,2
C2,Mercedes 600 Pullman,Germany,125,247,8,9.7,4
C3,Ford Mustang Mach 1,USA,126,266,8,6.0,2
C4,AMC Hornet X,USA,107,175,6,8.3,2
D1,AMC Matador Coupe,USA,120,220,8,9.5,2
D2,Lotus Esprit S1,UK,138,160,4,8.4,2
D3,Lotus Esprit Turbo,UK,150,210,4,6.1,2
D4,Citroën 2CV,France,71,29,2,29.2,4
E1,Range Rover Classic,UK,104,132,8,14.6,4
E2,Renault 11,France,98,110,4,12.5,4
E3,Rolls-Royce Silver Wraith II,UK,118,220,8,10.8,4
E4,Aston Martin V8 Vantage,UK,170,432,8,5.3,2
F1,ZAZ-965,USSR,65,23,4,31.0,2
F2,BMW Z3,Germany,128,138,4,8.5,2
F3,Ferrari F355 GTS,Italy,183,375,8,4.6,2
F4,BMW 750iL,Germany,155,322,8,6.6,4
G1,BMW Z8,Germany,155,400,8,4.7,2
G2,Aston Martin Vanquish,UK,190,450,12,4.5,2
G3,Jaguar XKR,UK,155,370,8,5.3,2
G4,Ford Thunderbird,USA,140,280,8,6.5,2
H1,Ford Mondeo,Germany,145,220,6,7.9,4
H2,Aston Martin DBS V12,UK,191,510,12,4.3,2
H3,Jaguar XF,UK,155,503,8,4.5,4
H4,Aston Martin DB10,UK,193,503,8,3.2,2
I1,Aston Martin Valhalla,UK,217,937,8,2.5,2
I2,Aston Martin Rapide E,UK,155,600,0,4.0,4
I3,Land Rover Defender,UK,119,400,6,6.5,4
