Ships
max,max,max,max,min
number,name,country,Length (m),Displacement (tons),Top Speed (knots),Complement,Year Launched
A1,Santa Maria,Spain,23,150,8,40,1492
A2,Mary Rose,UK,32,500,8,400,1511
A3,Golden Hind,UK,31,120,10,80,1577
A4,HMS Victory,UK,69,3500,10,850,1765
B1,Endeavour,UK,32,370,8,94,1768
B2,Bounty,UK,28,215,9,45,1787
B3,USS Constitution,USA,62,2200,13,450,1797
B4,HMS Beagle,UK,27,235,8,75,1820
C1,SS Great Britain,UK,98,3400,14,130,1843
C2,SS Great Eastern,UK,212,32000,14,4000,1858
C3,Mary Celeste,USA,32,282,10,10,1861
C4,Cutty Sark,UK,65,963,17,28,1869
D1,Gj¿a,Norway,25,31,6,8,1901
D2,HMS Dreadnought,UK,160,18000,21,800,1906
D3,RMS Lusitania,UK,240,31550,25,1959,1907
D4,RMS Titanic,UK,269,52310,24,2435,1912
E1,Endurance,UK,38,300,10,28,1912
E2,RMS Britannic,UK,269,48158,23,1065,1914
E3,HMS Hood,UK,262,41200,31,1418,1918
E4,SS Normandie,France,313,83423,30,1950,1935
F1,RMS Queen Mary,UK,311,81237,31,2139,1936
F2,USS Enterprise (CV-6),USA,252,27100,33,2600,1936
F3,Bismarck,Germany,251,50300,30,2100,1939
F4,Yamato,Japan,263,72800,27,2500,1941
G1,USS Missouri (BB-63),USA,270,58000,32,2700,1943
G2,Type XXI U-Boat (U-2511),Germany,76,1600,17,57,1943
G3,Kon-Tiki,Norway,15,7,4,6,1947
G4,SS United States,USA,300,53330,38,1000,1952
H1,USS Nautilus,USA,98,3180,20,116,1954
H2,HMS Ark Royal,UK,210,22000,28,1000,1955
H3,Rainbow Warrior,Netherlands,40,2000,10,40,1955
H4,SS Edmund Fitzgerald,USA,222,13000,14,29,1958
I1,K-19,USSR,126,8300,22,120,1959
I2,K-222,USSR,108,5000,44,80,1969
I3,USS Nimitz,USA,333,97000,30,6000,1975
I4,USS Ohio (SSGN-726),USA,170,18750,25,15,1981
J1,Admiral Kuznetsov,Russia,305,58500,29,1960,1985
J2,HMCS Victoria,Canada,72,2370,20,55,1993
J3,USS Seawolf (SSN-21),USA,107,9138,35,140,1997
J4,Royal Clipper,USA,134,4000,20,227,2000
K1,Queen Mary 2,UK,345,148528,30,2620,2004
K2,Emma Maersk,Denmark,397,170794,25,15,2006
K3,HMS Astute,UK,97,7400,30,98,2007
K4,USS Zumwalt,USA,183,15000,30,150,2016
L1,MS Symphony of the Seas,Finland,361,228081,23,6680,2018
L2,Ever Given,Japan,400,220000,25,25,2021
L3,Tits,Brunei,52,500,20,20,1997
L4,Azzam,UAE,180,14000,31,60,2013
M1,Eclipse,Russia,163,13000,22,100,2010
M2,Rising Sun,USA,138,8000,28,60,2004
M3,Savannah,Netherlands,84,2500,18,26,2015
M4,Octopus,USA,126,9932,19,50,2003
